vacancies indexes;symmetries
(31, 86);['2_110']
(31, 89);['m_-101']
(31, 94);['m_-101']
(32, 36);['m_101']
(32, 40);['m_101']
(32, 42);['m_101']
(32, 47);['m_101']
(32, 52);['m_101']
(32, 56);['m_101']
(32, 60);['m_101']
(32, 63);['2_001']
(32, 64);['2_0-11']
(32, 67);['m_101']
(32, 71);['2_011']
(32, 73);['m_100']
(32, 76);['m_101']
(32, 80);['m_101']
(32, 82);['m_101']
(32, 85);['2_110']
(32, 86);['m_-110']
(32, 87);['m_101']
(32, 92);['m_101']
(33, 35);['m_0-11']
(33, 37);['m_-101']
(33, 38);['m_011']
(33, 40);['2_100']
(33, 42);['m_-101']
(33, 47);['m_-101']
(33, 52);['m_-101']
(33, 59);['m_-101']
(33, 60);['2_001']
(33, 63);['m_-101']
(33, 68);['m_-101']
(33, 73);['m_-101']
(33, 75);['m_-101']
(33, 78);['m_110']
(33, 79);['m_-101']
(33, 84);['m_-101']
(33, 89);['m_-101']
(33, 94);['m_-101']
(34, 36);['m_011']
(34, 37);['m_011']
(34, 43);['m_011']
(34, 45);['m_011']
(34, 47);['m_011']
(34, 49);['m_011']
(34, 51);['m_011']
(34, 54);['2_010']
(34, 61);['2_001']
(34, 74);['m_-101']
(34, 75);['m_011']
(34, 77);['m_011']
(34, 78);['m_011']
(34, 79);['m_110']
(34, 80);['m_011']
(34, 84);['m_011']
(34, 86);['m_011']
(34, 88);['m_011']
(34, 90);['m_011']
(34, 92);['m_011']
(35, 36);['m_-110']
(35, 38);['2_100']
(35, 40);['m_011']
(35, 46);['m_-110']
(35, 47);['m_-110']
(35, 48);['m_-110']
(35, 57);['2_010']
(35, 59);['m_-110']
(35, 69);['m_-110']
(35, 70);['m_-110']
(35, 71);['m_-110']
(35, 77);['m_101']
(35, 80);['m_-110']
(35, 81);['m_-110']
(35, 92);['m_-110']
(35, 94);['m_-110']
(36, 39);['m_011']
(36, 40);['m_101']
(36, 42);['m_101']
(36, 43);['m_011']
(36, 45);['m_011']
(36, 46);['m_-110']
(36, 48);['m_-110']
(36, 49);['m_011']
(36, 51);['m_011']
(36, 52);['m_101']
(36, 58);['m_-110']
(36, 60);['m_101']
(36, 62);['m_101']
(36, 67);['m_101']
(36, 69);['m_-110']
(36, 70);['m_-110']
(36, 71);['m_-110']
(36, 72);['m_101']
(36, 75);['m_011']
(36, 76);['m_101']
(36, 77);['m_011']
(36, 78);['m_011']
(36, 81);['m_-110']
(36, 82);['m_101']
(36, 84);['m_011']
(36, 86);['m_011']
(36, 87);['m_101']
(36, 88);['m_011']
(36, 90);['m_011']
(36, 94);['m_-110']
(37, 38);['m_110']
(37, 39);['m_011']
(37, 42);['m_-101']
(37, 43);['m_011']
(37, 45);['m_011']
(37, 46);['m_110']
(37, 48);['m_110']
(37, 49);['m_011']
(37, 51);['m_011']
(37, 52);['m_-101']
(37, 55);['m_-101']
(37, 57);['m_110']
(37, 63);['m_-101']
(37, 64);['m_110']
(37, 65);['m_110']
(37, 66);['m_110']
(37, 68);['m_-101']
(37, 73);['m_-101']
(37, 74);['m_110']
(37, 77);['m_011']
(37, 78);['m_011']
(37, 79);['m_-101']
(37, 80);['m_011']
(37, 82);['m_110']
(37, 83);['m_110']
(37, 86);['m_011']
(37, 88);['m_011']
(37, 89);['m_-101']
(37, 90);['m_011']
(37, 92);['m_011']
(37, 94);['m_-101']
(38, 40);['m_0-11']
(38, 46);['m_110']
(38, 47);['m_110']
(38, 48);['m_110']
(38, 56);['m_110']
(38, 58);['2_010']
(38, 64);['m_110']
(38, 65);['m_110']
(38, 66);['m_110']
(38, 74);['m_110']
(38, 75);['m_110']
(38, 78);['m_-101']
(38, 82);['m_110']
(38, 83);['m_110']
(38, 84);['m_110']
(39, 43);['m_011']
(39, 45);['m_011']
(39, 47);['m_011']
(39, 49);['m_011']
(39, 51);['m_011']
(39, 54);['2_001']
(39, 61);['2_010']
(39, 75);['m_011']
(39, 76);['m_-110']
(39, 77);['m_011']
(39, 78);['m_011']
(39, 80);['m_011']
(39, 81);['m_101']
(39, 84);['m_011']
(39, 86);['m_011']
(39, 88);['m_011']
(39, 90);['m_011']
(39, 92);['m_011']
(40, 42);['m_101']
(40, 47);['m_101']
(40, 52);['m_101']
(40, 55);['2_001']
(40, 56);['m_101']
(40, 62);['m_101']
(40, 67);['m_101']
(40, 72);['m_101']
(40, 76);['m_101']
(40, 77);['m_-110']
(40, 80);['m_101']
(40, 82);['m_101']
(40, 87);['m_101']
(40, 92);['m_101']
(41, 42);['m_100']
(41, 45);['m_100']
(41, 46);['m_100']
(41, 48);['m_100']
(41, 49);['m_100']
(41, 52);['m_100']
(41, 54);['m_0-11']
(41, 56);['m_0-11']
(41, 59);['m_0-11']
(41, 61);['m_0-11']
(41, 82);['m_0-11']
(41, 83);['m_101']
(41, 85);['m_0-11']
(41, 87);['m_110']
(41, 88);['m_0-11']
(41, 89);['2_-110']
(41, 91);['m_0-11']
(41, 93);['2_-101']
(41, 94);['m_0-11']
(42, 43);['m_100']
(42, 44);['m_100']
(42, 45);['m_100']
(42, 49);['m_100']
(42, 50);['m_100']
(42, 51);['m_100']
(42, 53);['m_100']
(42, 55);['m_-101']
(42, 56);['m_101']
(42, 59);['m_-101']
(42, 60);['m_101']
(42, 62);['m_101']
(42, 63);['m_-101']
(42, 65);['m_001']
(42, 67);['m_101']
(42, 68);['m_-101']
(42, 70);['m_001']
(42, 72);['m_101']
(42, 73);['m_-101']
(42, 75);['m_-101']
(42, 76);['m_101']
(42, 79);['m_-101']
(42, 80);['m_101']
(42, 82);['m_101']
(42, 83);['m_001']
(42, 84);['m_-101']
(42, 87);['m_101']
(42, 89);['m_-101']
(42, 92);['m_101']
(42, 93);['m_001']
(42, 94);['m_-101']
(43, 44);['m_100']
(43, 46);['m_100']
(43, 48);['m_100']
(43, 50);['m_100']
(43, 52);['m_100']
(43, 75);['m_011']
(43, 77);['m_011']
(43, 78);['m_011']
(43, 80);['m_011']
(43, 83);['m_-101']
(43, 84);['m_011']
(43, 86);['m_011']
(43, 87);['2_-110']
(43, 88);['m_011']
(43, 89);['m_110']
(43, 90);['m_011']
(43, 92);['m_011']
(43, 93);['2_101']
(44, 46);['m_100']
(44, 48);['m_100']
(44, 51);['m_100']
(44, 52);['m_100']
(44, 54);['m_0-11']
(44, 56);['m_0-11']
(44, 59);['m_0-11']
(44, 61);['m_0-11']
(44, 65);['m_101']
(44, 67);['m_110']
(44, 68);['2_-110']
(44, 70);['2_-101']
(44, 82);['m_0-11']
(44, 85);['m_0-11']
(44, 88);['m_0-11']
(44, 91);['m_0-11']
(44, 94);['m_0-11']
(45, 46);['m_100']
(45, 48);['m_100']
(45, 52);['m_100']
(45, 53);['m_100']
(45, 65);['m_-101']
(45, 67);['2_-110']
(45, 68);['m_110']
(45, 70);['2_101']
(45, 75);['m_011']
(45, 77);['m_011']
(45, 78);['m_011']
(45, 80);['m_011']
(45, 84);['m_011']
(45, 86);['m_011']
(45, 88);['m_011']
(45, 90);['m_011']
(45, 92);['m_011']
(46, 49);['m_100']
(46, 50);['m_100']
(46, 51);['m_100']
(46, 53);['m_100']
(46, 56);['m_110']
(46, 57);['m_110']
(46, 58);['m_-110']
(46, 59);['m_-110']
(46, 64);['m_110']
(46, 65);['m_110']
(46, 66);['m_110']
(46, 67);['m_010']
(46, 68);['m_010']
(46, 69);['m_-110']
(46, 70);['m_-110']
(46, 71);['m_-110']
(46, 74);['m_110']
(46, 75);['m_110']
(46, 80);['m_-110']
(46, 81);['m_-110']
(46, 82);['m_110']
(46, 83);['m_110']
(46, 84);['m_110']
(46, 87);['m_010']
(46, 89);['m_010']
(46, 92);['m_-110']
(46, 93);['m_-110']
(46, 94);['m_-110']
(47, 54);['m_0-11']
(47, 55);['m_-101']
(47, 57);['m_110']
(47, 58);['m_-110']
(47, 60);['m_101']
(47, 61);['m_0-11']
(47, 62);['m_101']
(47, 63);['m_-101']
(47, 64);['m_110']
(47, 66);['m_110']
(47, 69);['m_-110']
(47, 71);['m_-110']
(47, 72);['m_101']
(47, 73);['m_-101']
(47, 74);['m_110']
(47, 76);['m_101']
(47, 77);['m_011']
(47, 78);['m_011']
(47, 79);['m_-101']
(47, 81);['m_-110']
(47, 85);['m_0-11']
(47, 86);['m_011']
(47, 90);['m_011']
(47, 91);['m_0-11']
(48, 49);['m_100']
(48, 50);['m_100']
(48, 51);['m_100']
(48, 53);['m_100']
(48, 56);['m_110']
(48, 57);['m_110']
(48, 58);['m_-110']
(48, 59);['m_-110']
(48, 64);['m_110']
(48, 65);['m_110']
(48, 66);['m_110']
(48, 67);['m_010']
(48, 68);['m_010']
(48, 69);['m_-110']
(48, 70);['m_-110']
(48, 71);['m_-110']
(48, 74);['m_110']
(48, 75);['m_110']
(48, 80);['m_-110']
(48, 81);['m_-110']
(48, 82);['m_110']
(48, 83);['m_110']
(48, 84);['m_110']
(48, 87);['m_010']
(48, 89);['m_010']
(48, 92);['m_-110']
(48, 93);['m_-110']
(48, 94);['m_-110']
(49, 52);['m_100']
(49, 53);['m_100']
(49, 65);['2_-101']
(49, 67);['m_-110']
(49, 68);['2_110']
(49, 70);['m_101']
(49, 75);['m_011']
(49, 77);['m_011']
(49, 78);['m_011']
(49, 80);['m_011']
(49, 84);['m_011']
(49, 86);['m_011']
(49, 88);['m_011']
(49, 90);['m_011']
(49, 92);['m_011']
(50, 51);['m_100']
(50, 52);['m_100']
(50, 54);['m_0-11']
(50, 56);['m_0-11']
(50, 59);['m_0-11']
(50, 61);['m_0-11']
(50, 65);['2_101']
(50, 67);['2_110']
(50, 68);['m_-110']
(50, 70);['m_-101']
(50, 82);['m_0-11']
(50, 85);['m_0-11']
(50, 88);['m_0-11']
(50, 91);['m_0-11']
(50, 94);['m_0-11']
(51, 52);['m_100']
(51, 75);['m_011']
(51, 77);['m_011']
(51, 78);['m_011']
(51, 80);['m_011']
(51, 83);['2_-101']
(51, 84);['m_011']
(51, 86);['m_011']
(51, 87);['m_-110']
(51, 88);['m_011']
(51, 89);['2_110']
(51, 90);['m_011']
(51, 92);['m_011']
(51, 93);['m_101']
(52, 53);['m_100']
(52, 55);['m_-101']
(52, 56);['m_101']
(52, 59);['m_-101']
(52, 60);['m_101']
(52, 62);['m_101']
(52, 63);['m_-101']
(52, 65);['m_001']
(52, 67);['m_101']
(52, 68);['m_-101']
(52, 70);['m_001']
(52, 72);['m_101']
(52, 73);['m_-101']
(52, 75);['m_-101']
(52, 76);['m_101']
(52, 79);['m_-101']
(52, 80);['m_101']
(52, 82);['m_101']
(52, 83);['m_001']
(52, 84);['m_-101']
(52, 87);['m_101']
(52, 89);['m_-101']
(52, 92);['m_101']
(52, 93);['m_001']
(52, 94);['m_-101']
(53, 54);['m_0-11']
(53, 56);['m_0-11']
(53, 59);['m_0-11']
(53, 61);['m_0-11']
(53, 82);['m_0-11']
(53, 83);['2_101']
(53, 85);['m_0-11']
(53, 87);['2_110']
(53, 88);['m_0-11']
(53, 89);['m_-110']
(53, 91);['m_0-11']
(53, 93);['m_-101']
(53, 94);['m_0-11']
(54, 56);['m_0-11']
(54, 59);['m_0-11']
(54, 74);['m_101']
(54, 76);['m_110']
(54, 82);['m_0-11']
(54, 85);['m_0-11']
(54, 88);['m_0-11']
(54, 91);['m_0-11']
(54, 94);['m_0-11']
(55, 57);['m_011']
(55, 58);['m_0-11']
(55, 59);['m_-101']
(55, 60);['2_100']
(55, 63);['m_-101']
(55, 68);['m_-101']
(55, 73);['m_-101']
(55, 75);['m_-101']
(55, 77);['m_110']
(55, 79);['m_-101']
(55, 84);['m_-101']
(55, 89);['m_-101']
(55, 94);['m_-101']
(56, 57);['m_110']
(56, 60);['m_101']
(56, 61);['m_0-11']
(56, 62);['m_101']
(56, 64);['m_110']
(56, 65);['m_110']
(56, 66);['m_110']
(56, 67);['m_101']
(56, 72);['m_101']
(56, 74);['m_110']
(56, 75);['m_110']
(56, 76);['m_101']
(56, 80);['m_101']
(56, 83);['m_110']
(56, 84);['m_110']
(56, 85);['m_0-11']
(56, 87);['m_101']
(56, 88);['m_0-11']
(56, 91);['m_0-11']
(56, 92);['m_101']
(56, 94);['m_0-11']
(57, 58);['2_100']
(57, 60);['m_0-11']
(57, 64);['m_110']
(57, 65);['m_110']
(57, 66);['m_110']
(57, 74);['m_110']
(57, 75);['m_110']
(57, 77);['m_-101']
(57, 82);['m_110']
(57, 83);['m_110']
(57, 84);['m_110']
(58, 59);['m_-110']
(58, 60);['m_011']
(58, 69);['m_-110']
(58, 70);['m_-110']
(58, 71);['m_-110']
(58, 78);['m_101']
(58, 80);['m_-110']
(58, 81);['m_-110']
(58, 92);['m_-110']
(58, 94);['m_-110']
(59, 61);['m_0-11']
(59, 63);['m_-101']
(59, 68);['m_-101']
(59, 69);['m_-110']
(59, 70);['m_-110']
(59, 71);['m_-110']
(59, 73);['m_-101']
(59, 75);['m_-101']
(59, 79);['m_-101']
(59, 80);['m_-110']
(59, 81);['m_-110']
(59, 82);['m_0-11']
(59, 84);['m_-101']
(59, 85);['m_0-11']
(59, 88);['m_0-11']
(59, 89);['m_-101']
(59, 91);['m_0-11']
(59, 92);['m_-110']
(60, 62);['m_101']
(60, 67);['m_101']
(60, 72);['m_101']
(60, 76);['m_101']
(60, 78);['m_-110']
(60, 80);['m_101']
(60, 82);['m_101']
(60, 87);['m_101']
(60, 92);['m_101']
(61, 79);['m_-110']
(61, 81);['m_-101']
(61, 82);['m_0-11']
(61, 85);['m_0-11']
(61, 88);['m_0-11']
(61, 91);['m_0-11']
(61, 94);['m_0-11']
(62, 63);['m_001']
(62, 64);['m_0-11']
(62, 67);['m_101']
(62, 71);['m_011']
(62, 73);['2_100']
(62, 76);['m_101']
(62, 80);['m_101']
(62, 82);['m_101']
(62, 85);['m_110']
(62, 86);['2_-110']
(62, 87);['m_101']
(62, 92);['m_101']
(63, 66);['m_011']
(63, 68);['m_-101']
(63, 69);['m_0-11']
(63, 72);['2_100']
(63, 75);['m_-101']
(63, 79);['m_-101']
(63, 84);['m_-101']
(63, 85);['2_-110']
(63, 86);['m_110']
(63, 89);['m_-101']
(63, 94);['m_-101']
(64, 65);['m_110']
(64, 69);['m_010']
(64, 71);['2_100']
(64, 73);['m_011']
(64, 74);['m_110']
(64, 75);['m_110']
(64, 82);['m_110']
(64, 83);['m_110']
(64, 84);['m_110']
(64, 85);['m_101']
(64, 90);['2_-101']
(65, 66);['m_110']
(65, 67);['m_0-11']
(65, 68);['m_011']
(65, 74);['m_110']
(65, 75);['m_110']
(65, 82);['m_110']
(65, 84);['m_110']
(65, 88);['m_001']
(65, 93);['m_001']
(66, 69);['2_100']
(66, 71);['m_010']
(66, 72);['m_0-11']
(66, 74);['m_110']
(66, 75);['m_110']
(66, 82);['m_110']
(66, 83);['m_110']
(66, 84);['m_110']
(66, 86);['m_-101']
(66, 91);['2_101']
(67, 70);['m_011']
(67, 72);['m_101']
(67, 76);['m_101']
(67, 80);['m_101']
(67, 82);['m_101']
(67, 88);['m_010']
(67, 89);['m_010']
(67, 92);['m_101']
(68, 70);['m_0-11']
(68, 73);['m_-101']
(68, 75);['m_-101']
(68, 79);['m_-101']
(68, 84);['m_-101']
(68, 87);['m_010']
(68, 88);['m_010']
(68, 94);['m_-101']
(69, 70);['m_-110']
(69, 72);['m_011']
(69, 80);['m_-110']
(69, 81);['m_-110']
(69, 85);['2_-101']
(69, 90);['m_101']
(69, 92);['m_-110']
(69, 93);['m_-110']
(69, 94);['m_-110']
(70, 71);['m_-110']
(70, 80);['m_-110']
(70, 81);['m_-110']
(70, 83);['m_001']
(70, 88);['m_001']
(70, 92);['m_-110']
(70, 94);['m_-110']
(71, 73);['m_0-11']
(71, 80);['m_-110']
(71, 81);['m_-110']
(71, 86);['2_101']
(71, 91);['m_-101']
(71, 92);['m_-110']
(71, 93);['m_-110']
(71, 94);['m_-110']
(72, 73);['m_001']
(72, 76);['m_101']
(72, 80);['m_101']
(72, 82);['m_101']
(72, 87);['m_101']
(72, 90);['m_-110']
(72, 91);['2_110']
(72, 92);['m_101']
(73, 75);['m_-101']
(73, 79);['m_-101']
(73, 84);['m_-101']
(73, 89);['m_-101']
(73, 90);['2_110']
(73, 91);['m_-110']
(73, 94);['m_-101']
(74, 75);['m_110']
(74, 76);['m_0-11']
(74, 79);['m_011']
(74, 81);['2_100']
(74, 82);['m_110']
(74, 83);['m_110']
(74, 84);['m_110']
(75, 77);['m_011']
(75, 78);['m_011']
(75, 79);['m_-101']
(75, 82);['m_110']
(75, 83);['m_110']
(75, 86);['m_011']
(75, 88);['m_011']
(75, 89);['m_-101']
(75, 90);['m_011']
(75, 92);['m_011']
(75, 94);['m_-101']
(76, 79);['2_100']
(76, 80);['m_101']
(76, 81);['m_011']
(76, 82);['m_101']
(76, 87);['m_101']
(76, 92);['m_101']
(77, 80);['m_011']
(77, 84);['m_011']
(77, 86);['m_011']
(77, 88);['m_011']
(77, 90);['m_011']
(77, 92);['m_011']
(78, 80);['m_011']
(78, 84);['m_011']
(78, 86);['m_011']
(78, 88);['m_011']
(78, 90);['m_011']
(78, 92);['m_011']
(79, 81);['m_0-11']
(79, 84);['m_-101']
(79, 89);['m_-101']
(79, 94);['m_-101']
(80, 81);['m_-110']
(80, 82);['m_101']
(80, 84);['m_011']
(80, 86);['m_011']
(80, 87);['m_101']
(80, 88);['m_011']
(80, 90);['m_011']
(80, 94);['m_-110']
(81, 92);['m_-110']
(81, 94);['m_-110']
(82, 83);['m_110']
(82, 85);['m_0-11']
(82, 87);['m_101']
(82, 88);['m_0-11']
(82, 91);['m_0-11']
(83, 84);['m_110']
(83, 87);['m_0-11']
(83, 88);['m_001']
(83, 89);['m_011']
(84, 86);['m_011']
(84, 88);['m_011']
(84, 89);['m_-101']
(84, 90);['m_011']
(85, 86);['m_001']
(85, 88);['m_0-11']
(85, 90);['m_010']
(85, 94);['m_0-11']
(86, 88);['m_011']
(86, 91);['m_010']
(86, 92);['m_011']
(87, 88);['m_010']
(87, 92);['m_101']
(87, 93);['m_011']
(88, 89);['m_010']
(88, 90);['m_011']
(88, 91);['m_0-11']
(88, 92);['m_011']
(88, 93);['m_001']
(88, 94);['m_0-11']
(89, 93);['m_0-11']
(89, 94);['m_-101']
(90, 91);['m_001']
(90, 92);['m_011']
(91, 94);['m_0-11']
(92, 93);['m_-110']
(93, 94);['m_-110']
